Rg;Mc;rh;rhoh;host
5.0437E+00;1.5849E+04;3.3884E+00;4.8627E+10;M83
4.5772E+00;1.3490E+04;3.8019E+00;2.9301E+10;M83
5.5608E+00;3.4674E+04;1.0715E+08;3.3642E-12;M83
5.1375E+00;1.4454E+04;7.4131E+00;4.2353E+09;M83
3.4287E+00;1.4791E+04;9.1201E+01;2.3275E+06;M83
5.4011E+00;2.9512E+05;2.3988E+07;2.5520E-09;M83
4.4703E+00;1.7378E+04;3.9811E+00;3.2876E+10;M83
4.0989E+00;4.4668E+04;2.8840E+00;2.2227E+11;M83
5.0820E+00;1.1749E+04;4.8978E+00;1.1937E+10;M83
4.3878E+00;4.8978E+04;6.7608E+07;1.8918E-11;M83
4.1777E+00;1.4454E+04;3.4674E+00;4.1389E+10;M83
4.2241E+00;1.0471E+04;3.4674E+00;2.9983E+10;M83
3.1635E+00;5.0119E+04;4.4668E+00;6.7125E+10;M83
3.0086E+00;1.6596E+04;2.4547E+00;1.3393E+11;M83
3.3194E+00;1.6218E+04;3.5481E+00;4.3339E+10;M83
3.2400E+00;5.8884E+04;6.4565E+07;2.6114E-11;M83
4.3157E+00;1.5488E+04;6.4565E+00;6.8688E+09;M83
4.3526E+00;1.0715E+04;1.8621E+01;1.9810E+08;M83
6.0720E+00;1.4454E+04;4.3652E+01;2.0743E+07;M83
4.3043E+00;1.3183E+04;7.9433E+01;3.1397E+06;M83
3.4109E+00;1.2303E+04;3.2359E+00;4.3339E+10;M83
5.5967E+00;1.8197E+04;1.0233E+02;2.0271E+06;M83
3.8480E+00;1.2023E+04;2.5119E+00;9.0549E+10;M83
2.8039E+00;1.2589E+04;3.3113E+00;4.1389E+10;M83
3.8375E+00;1.0965E+04;2.0893E+00;1.4351E+11;M83
6.1676E+00;2.2387E+04;2.7542E+01;1.2790E+08;M83
5.5782E+00;3.0200E+04;3.3113E+15;9.9285E-35;M83
4.9584E+00;1.9498E+04;2.5704E+04;1.3705E-01;M83
4.0739E+00;1.2303E+04;4.8978E+00;1.2499E+10;M83
4.5452E+00;1.6218E+04;1.1749E+02;1.1937E+06;M83
4.6724E+00;1.1749E+04;1.7378E+01;2.6723E+08;M83
3.4467E+00;1.3490E+04;2.3988E+00;1.1665E+11;M83
4.6066E+00;1.3183E+04;1.9953E+03;1.9810E+02;M83
3.6968E+00;3.1623E+04;2.4547E+01;2.5520E+08;M83
3.4255E+00;1.9953E+04;3.4674E+00;5.7132E+10;M83
3.3553E+00;5.0119E+04;3.3884E+02;1.5377E+05;M83
4.2225E+00;1.9055E+04;9.3325E+07;2.7982E-12;M83
3.2550E+00;2.8184E+04;1.0000E+08;3.3642E-12;M83
3.1624E+00;1.7783E+04;2.5704E+00;1.2499E+11;M83
4.4865E+00;1.5849E+04;4.3652E+01;2.2745E+07;M83
3.3595E+00;4.6774E+04;1.2589E+01;2.7982E+09;M83
4.3684E+00;4.7863E+04;7.5858E+00;1.3088E+10;M83
3.1216E+00;1.0471E+04;5.4954E+01;7.5315E+06;M83
4.3925E+00;2.5704E+04;1.3804E+04;1.1665E+00;M83
5.2420E-01;4.3652E+04;1.1900E+00;3.0920E+12;NearbyDwarfs
2.9840E-01;1.0715E+05;5.9300E+00;6.1336E+10;NearbyDwarfs
8.4050E-01;7.0795E+04;3.3400E+00;2.2680E+11;NearbyDwarfs
3.9680E+00;1.0471E+05;6.7800E+00;4.0104E+10;NearbyDwarfs
1.4400E-02;1.4454E+06;2.3500E+00;1.3295E+13;NearbyDwarfs
2.1028E+00;1.3183E+04;4.2300E+00;2.0790E+10;NearbyDwarfs
1.1303E+00;4.0738E+04;2.7000E+00;2.4705E+11;NearbyDwarfs
1.9892E+00;1.2882E+04;2.2700E+00;1.3146E+11;NearbyDwarfs
2.8866E+00;1.3183E+04;1.2400E+00;8.2531E+11;NearbyDwarfs
2.7050E+00;9.1201E+03;2.1800E+00;1.0508E+11;NearbyDwarfs
2.9168E+00;2.8184E+05;4.5300E+00;3.6190E+11;NearbyDwarfs
